longitude,latitude,aver_price,latlon
113.840349,22.640648,110.0,"113.840349,22.640648"
113.855876,22.609071,90.3,"113.855876,22.609071"
113.933711,22.518254,120.7,"113.933711,22.518254"
113.849811,22.595946,75.0,"113.849811,22.595946"
113.913236,22.585379,85.7,"113.913236,22.585379"
114.383523,22.720417,77.8,"114.383523,22.720417"
113.871712239,22.5877148502,73.8,"113.871712239,22.5877148502"
114.057604,22.531009,140.6,"114.057604,22.531009"
114.139875507,22.5536352645,119.0,"114.139875507,22.5536352645"
114.064094,22.619151,85.9,"114.064094,22.619151"
113.831945,22.65599,74.0,"113.831945,22.65599"
114.052791803,22.5360669995,155.8,"114.052791803,22.5360669995"
114.101137,22.566241,90.9,"114.101137,22.566241"
113.912264642,22.5656676393,97.3,"113.912264642,22.5656676393"
113.926509,22.775751,39.3,"113.926509,22.775751"
114.082033,22.66599,68.9,"114.082033,22.66599"
113.923302,22.51444,123.6,"113.923302,22.51444"
114.0881,22.634755,42.8,"114.0881,22.634755"
113.911427,22.584842,73.7,"113.911427,22.584842"
113.860893,22.596643,56.4,"113.860893,22.596643"
113.826768,22.72277,49.1,"113.826768,22.72277"
113.9611,22.553981,157.3,"113.9611,22.553981"
114.067051,22.62715,90.0,"114.067051,22.62715"
114.236146,22.554003,134.0,"114.236146,22.554003"
113.937747,22.593163,112.9,"113.937747,22.593163"
113.955187,22.640097,77.3,"113.955187,22.640097"
114.124178,22.60626,58.2,"114.124178,22.60626"
113.927414,22.560305,94.0,"113.927414,22.560305"
114.073379863,22.5446186149,103.7,"114.073379863,22.5446186149"
114.132641752,22.5555201867,104.8,"114.132641752,22.5555201867"
114.058148341,22.5688088383,199.2,"114.058148341,22.5688088383"
114.13622202,22.5591691638,113.6,"114.13622202,22.5591691638"
114.032271,22.634271,137.3,"114.032271,22.634271"
113.846075,22.743059,80.0,"113.846075,22.743059"
114.145963151,22.5512674155,89.5,"114.145963151,22.5512674155"
114.137076536,22.6151997004,165.7,"114.137076536,22.6151997004"
113.908732,22.580212,91.3,"113.908732,22.580212"
113.879114,22.565182,88.7,"113.879114,22.565182"
114.164776,22.635518,42.5,"114.164776,22.635518"
114.129376526,22.5445715038,114.4,"114.129376526,22.5445715038"
113.957672,22.547709,126.0,"113.957672,22.547709"
113.880665,22.588114,51.4,"113.880665,22.588114"
113.85143,22.618391,41.7,"113.85143,22.618391"
114.071953,22.66271,43.3,"114.071953,22.66271"
114.064487,22.576731,130.3,"114.064487,22.576731"
114.19845,22.650056,60.0,"114.19845,22.650056"
113.967499,22.585749,216.0,"113.967499,22.585749"
113.971732475,22.5330485224,146.5,"113.971732475,22.5330485224"
114.080554,22.71892,65.0,"114.080554,22.71892"
114.048542712,22.5458812579,112.4,"114.048542712,22.5458812579"
114.029394,22.639391,68.0,"114.029394,22.639391"
114.067971882,22.570210703,148.8,"114.067971882,22.570210703"
114.115959,22.623975,80.0,"114.115959,22.623975"
113.93313,22.524531,208.2,"113.93313,22.524531"
114.063865,22.721847,66.7,"114.063865,22.721847"
114.034108,22.52807,105.4,"114.034108,22.52807"
113.802372,22.696129,66.7,"113.802372,22.696129"
114.234511842,22.6837050187,42.7,"114.234511842,22.6837050187"
113.812335,22.739575,28.6,"113.812335,22.739575"
113.873642987,22.5669030968,78.7,"113.873642987,22.5669030968"
114.118756,22.630163,55.6,"114.118756,22.630163"
114.101137,22.566241,90.9,"114.101137,22.566241"
114.085263,22.538115,131.7,"114.085263,22.538115"
114.305024,22.743685,12.3,"114.305024,22.743685"
114.143172,22.632277,60.7,"114.143172,22.632277"
114.151117,22.614881,72.0,"114.151117,22.614881"
113.848905,22.595309,71.1,"113.848905,22.595309"
114.176566,22.641429,48.0,"114.176566,22.641429"
114.07034056,22.5301719958,114.7,"114.07034056,22.5301719958"
114.242071,22.726735,41.3,"114.242071,22.726735"
114.215412,22.70251,77.1,"114.215412,22.70251"
113.979887,22.557031,149.4,"113.979887,22.557031"
113.949424997,22.4957908337,227.4,"113.949424997,22.4957908337"
114.15591,22.62387,89.4,"114.15591,22.62387"
113.921236,22.494353,170.5,"113.921236,22.494353"
114.042886,22.636677,110.1,"114.042886,22.636677"
114.116381,22.594104,84.4,"114.116381,22.594104"
113.850782,22.599236,59.4,"113.850782,22.599236"
114.045102505,22.5610387475,75.6,"114.045102505,22.5610387475"
114.066624605,22.515787156,116.3,"114.066624605,22.515787156"
114.054352,22.528503,151.6,"114.054352,22.528503"
114.244653,22.750213,38.2,"114.244653,22.750213"
114.040319,22.654555,106.2,"114.040319,22.654555"
114.163786,22.614385,61.8,"114.163786,22.614385"
113.966403,22.740944,41.5,"113.966403,22.740944"
114.050511,22.526816,115.2,"114.050511,22.526816"
113.81694,22.677615,100.0,"113.81694,22.677615"
114.062132116,22.5323862043,154.3,"114.062132116,22.5323862043"
113.9611,22.553981,168.5,"113.9611,22.553981"
